OrderID,CustomerID,ManagerID,Quantity,Price,Freight,OrderDate,ShippedDate
1,ZN31,man49,8,32.77,21.08,2020-08-19,2020-10-22
2,OE60,man57,8,37.02,24.05,2020-07-28,2020-09-26
3,GE70,man15,20,54.96,16.25,2020-08-31,2020-10-24
4,YD57,man43,66,35.77,16.47,2020-08-06,2020-10-13
5,DM90,man39,29,74.72,28.75,2020-09-14,2020-09-27
6,HH96,man04,35,92.18,19.54,2020-08-11,2020-10-16
7,EP57,man38,46,48.03,15.98,2020-07-30,2020-10-06
8,DR29,man01,39,80.13,29.56,2020-09-10,2020-10-09
9,DN76,man31,43,74.98,27.45,2020-09-19,2020-10-05
10,AK09,man31,45,28.46,17.8,2020-09-06,2020-10-23
11,EV09,man64,58,67.96,22.83,2020-07-28,2020-10-25
12,ES77,man08,92,60.94,11.64,2020-09-10,2020-09-30
13,FW14,man58,98,51.4,13.46,2020-09-01,2020-09-28
14,DJ78,man07,4,95.15,19.69,2020-08-01,2020-09-26
15,OO22,man66,78,72.37,10.81,2020-09-14,2020-10-23
16,AL66,man83,24,96.77,24.98,2020-08-02,2020-10-24
17,YX05,man58,26,37.99,28.63,2020-09-13,2020-10-15
18,SI21,man57,43,30.74,15.8,2020-09-14,2020-10-21
19,OS68,man09,30,46.84,18.11,2020-09-05,2020-10-04
20,FJ69,man61,40,99.62,15.66,2020-08-29,2020-09-27
21,KZ33,man49,97,86.83,23.41,2020-09-10,2020-10-12
22,GE12,man64,39,47.05,13.7,2020-09-23,2020-10-17
23,LC12,man28,4,96.73,18.74,2020-08-02,2020-09-27
24,GK12,man29,10,78.86,10.62,2020-09-07,2020-10-13
25,JR44,man64,28,21.25,26.54,2020-09-25,2020-10-03
26,ZD67,man44,2,77.46,22.43,2020-09-08,2020-10-16
27,UL45,man22,34,66.9,26.32,2020-09-17,2020-09-26
28,BL22,man03,26,67.54,24.22,2020-08-15,2020-10-07
29,NF23,man48,13,59.77,16.02,2020-09-13,2020-10-26
30,KY09,man68,100,92.72,22.23,2020-09-06,2020-10-10
31,OQ79,man42,52,86.83,14.33,2020-08-21,2020-10-20
32,FE11,man31,20,41.64,19.29,2020-08-11,2020-10-24
33,YK23,man36,27,58.16,13.53,2020-08-03,2020-10-04
34,TL15,man21,27,83.77,25.19,2020-09-21,2020-10-15
35,QD85,man38,75,73.26,14.7,2020-09-10,2020-10-10
36,ST94,man83,24,68.85,18.03,2020-08-19,2020-10-05
37,XH21,man01,4,38.78,29.91,2020-09-08,2020-09-28
38,ZI27,man01,2,62.77,25.8,2020-09-18,2020-10-01
39,CX61,man42,96,35.05,20.1,2020-09-17,2020-10-15
40,DO50,man98,42,84.19,18.39,2020-08-18,2020-10-12
41,KN42,man83,25,48.03,14.99,2020-09-04,2020-10-05
42,WT24,man67,76,31.95,27.24,2020-09-05,2020-10-21
43,XX58,man39,16,46.98,13.34,2020-08-28,2020-10-10
44,LP77,man79,66,79.88,21.04,2020-09-15,2020-09-27
45,AA60,man31,14,49.81,29.81,2020-08-06,2020-10-21
46,HZ30,man64,73,72.15,21.83,2020-09-24,2020-10-22
47,TX36,man44,95,89.46,12.58,2020-09-13,2020-10-06
48,TD55,man39,73,77.46,22.72,2020-08-28,2020-10-04
49,ES44,man45,15,58.13,25.49,2020-08-18,2020-10-03
50,OY93,man02,68,73.14,14.11,2020-09-21,2020-10-25
51,KU12,man93,92,99.55,27.77,2020-08-17,2020-10-24
52,BN30,man40,20,59.77,11.24,2020-09-02,2020-10-02
53,ES52,man09,20,48.76,26.25,2020-07-28,2020-10-22
54,QG22,man29,100,99.78,11.73,2020-09-25,2020-09-29
55,HG46,man79,72,37.06,29.65,2020-08-16,2020-10-17
56,EF16,man65,47,99.26,26.76,2020-08-21,2020-10-10
57,UH95,man76,24,51.06,21.53,2020-08-27,2020-10-26
58,OZ48,man90,44,25.19,26.92,2020-08-18,2020-10-22
59,DP25,man40,43,27.27,23.93,2020-09-21,2020-10-26
60,KT84,man32,40,73.46,21.11,2020-08-29,2020-09-30
61,QT57,man23,66,37.0,29.32,2020-09-09,2020-09-29
62,WL58,man29,72,92.29,26.31,2020-08-06,2020-10-06
63,WP52,man43,73,45.89,22.59,2020-08-24,2020-10-20
64,YE51,man92,61,59.29,14.36,2020-08-29,2020-10-16
65,AI71,man77,81,78.49,21.66,2020-08-16,2020-10-01
66,NN64,man41,64,59.53,21.95,2020-09-13,2020-10-22
67,RH75,man65,67,87.9,12.21,2020-08-19,2020-10-03
68,AO01,man80,46,70.91,20.28,2020-09-24,2020-10-12
69,SI25,man19,5,59.99,29.32,2020-08-09,2020-10-12
70,RC23,man76,79,46.8,22.6,2020-08-08,2020-09-29
71,EG77,man64,17,45.95,12.78,2020-08-05,2020-10-01
72,GA95,man06,22,90.96,13.59,2020-09-17,2020-10-09
73,KG09,man43,16,50.46,22.86,2020-09-05,2020-10-24
74,IE19,man53,49,49.4,21.1,2020-08-08,2020-10-04
75,OE33,man20,25,66.31,28.34,2020-09-07,2020-09-30
76,DW34,man41,15,98.46,10.72,2020-08-29,2020-10-13
77,JQ65,man14,46,74.82,18.44,2020-09-03,2020-10-04
78,SS51,man23,82,55.77,14.79,2020-08-14,2020-10-25
79,FM85,man53,4,44.4,20.85,2020-09-19,2020-10-03
80,GG04,man35,6,85.84,11.06,2020-08-15,2020-10-21
81,ND19,man05,33,54.43,11.27,2020-07-29,2020-10-25
82,AO65,man67,27,95.05,12.07,2020-08-26,2020-10-22
83,FB31,man35,29,37.37,19.4,2020-08-20,2020-09-27
84,RX61,man69,77,40.01,20.61,2020-08-20,2020-09-28
85,TM50,man14,10,31.54,26.21,2020-07-29,2020-10-17
86,XL58,man07,78,98.52,18.49,2020-08-14,2020-10-18
87,JP13,man22,66,96.66,12.46,2020-09-10,2020-10-17
88,CU91,man53,46,20.18,26.33,2020-09-17,2020-10-03
89,DF09,man86,11,25.88,20.86,2020-08-05,2020-10-21
90,GF02,man06,35,44.87,25.61,2020-07-28,2020-09-30
91,YA14,man56,98,54.71,16.79,2020-09-09,2020-10-08
92,KM61,man54,58,96.31,12.96,2020-08-03,2020-10-12
93,AG61,man83,32,42.73,28.26,2020-07-28,2020-10-15
94,PO91,man66,94,38.94,28.86,2020-09-03,2020-09-30
95,XA87,man01,54,39.88,13.35,2020-08-12,2020-10-03
96,KD02,man00,32,70.99,10.98,2020-08-19,2020-10-07
97,OI38,man64,34,29.46,18.61,2020-09-10,2020-10-02
98,CY02,man04,48,55.71,10.78,2020-09-16,2020-10-21
99,ZC17,man00,34,27.23,16.11,2020-08-11,2020-10-05
100,FM59,man64,42,71.4,20.53,2020-08-13,2020-10-14
101,LA00,man12,74,70.37,12.5,2020-09-06,2020-10-14
102,MK52,man59,8,35.31,20.13,2020-08-18,2020-09-30
103,DB52,man52,42,88.72,17.91,2020-08-15,2020-10-02
104,SC53,man60,87,74.94,22.32,2020-08-25,2020-09-29
105,AJ48,man75,94,89.46,22.66,2020-08-21,2020-10-08
106,KR19,man91,2,62.93,12.08,2020-09-21,2020-10-20
107,SM51,man41,78,76.83,18.08,2020-08-04,2020-10-16
108,FU74,man39,53,77.9,27.45,2020-09-25,2020-10-23
109,KA07,man35,65,75.6,27.9,2020-08-20,2020-10-24
110,AO02,man21,50,38.79,24.05,2020-09-24,2020-10-09
111,WI00,man40,95,20.26,25.66,2020-09-16,2020-10-10
112,VE78,man51,1,38.06,26.39,2020-08-18,2020-10-14
113,VI39,man41,70,37.4,29.36,2020-08-07,2020-10-05
114,KJ15,man41,29,84.38,23.86,2020-09-05,2020-10-07
115,ZX13,man40,9,55.28,29.16,2020-08-17,2020-10-22
116,DD52,man86,28,58.79,27.56,2020-08-05,2020-10-20
117,ZD83,man47,43,90.08,19.18,2020-09-02,2020-10-17
118,TJ74,man01,65,27.65,15.66,2020-08-23,2020-10-09
119,NG59,man06,13,70.64,17.25,2020-09-23,2020-10-02
120,DY94,man88,25,55.54,20.53,2020-09-25,2020-10-20
121,ZE75,man55,71,68.18,27.81,2020-08-21,2020-10-05
122,XQ40,man27,94,78.75,29.52,2020-09-02,2020-10-14
123,GZ95,man87,18,39.22,24.83,2020-08-29,2020-10-03
124,HQ62,man59,97,24.88,20.71,2020-09-11,2020-09-29
125,IW03,man93,37,33.44,24.81,2020-07-28,2020-09-30
126,IP70,man24,40,78.22,18.36,2020-09-03,2020-10-06
127,ZR63,man55,14,34.53,14.25,2020-09-03,2020-10-25
128,YO04,man37,44,95.79,23.28,2020-08-07,2020-10-02
129,MF52,man52,44,95.21,15.7,2020-07-28,2020-10-19
130,IP99,man90,5,78.97,16.3,2020-08-23,2020-10-01
131,WG44,man75,48,25.43,28.93,2020-08-10,2020-10-03
132,LT01,man35,31,31.98,22.63,2020-08-21,2020-10-08
133,AZ15,man21,66,70.66,21.24,2020-08-19,2020-09-28
134,LU37,man17,28,96.47,26.3,2020-08-15,2020-09-28
135,JC37,man64,11,44.62,11.39,2020-09-05,2020-10-03
136,HD65,man59,8,72.84,24.98,2020-09-06,2020-10-25
137,TI49,man55,17,88.25,16.53,2020-09-18,2020-10-12
138,KU05,man61,86,74.91,18.26,2020-08-29,2020-10-25
139,MP47,man79,19,31.82,21.93,2020-08-18,2020-10-25
140,CE89,man75,76,93.91,20.44,2020-08-16,2020-10-04
141,JQ77,man20,91,71.63,11.97,2020-08-09,2020-10-11
142,LZ00,man11,48,28.22,26.56,2020-09-19,2020-10-07
143,BA83,man26,2,27.03,10.76,2020-09-08,2020-10-24
144,GD55,man87,18,44.61,25.4,2020-08-19,2020-09-29
145,DL55,man97,40,57.42,20.91,2020-09-23,2020-09-29
146,EJ48,man22,20,98.4,19.73,2020-08-18,2020-10-21
147,IB32,man16,40,39.48,24.46,2020-08-01,2020-10-10
148,SD99,man14,82,58.1,18.19,2020-07-29,2020-10-04
149,UK13,man84,62,51.46,27.79,2020-08-03,2020-10-09
150,UZ90,man32,40,26.9,13.5,2020-09-20,2020-10-16
151,BP01,man00,32,53.79,10.92,2020-08-13,2020-10-01
152,MO92,man44,26,26.61,19.33,2020-08-28,2020-10-04
153,YD41,man79,7,49.05,28.41,2020-08-21,2020-10-26
154,WX80,man13,72,36.33,14.07,2020-09-19,2020-10-07
155,LN01,man98,68,29.96,27.27,2020-08-16,2020-10-01
156,MU96,man19,65,33.08,21.76,2020-09-20,2020-10-21
157,PR95,man34,30,23.57,27.08,2020-09-07,2020-10-06
158,WL02,man74,95,89.28,22.24,2020-08-07,2020-09-27
159,WS10,man94,17,54.38,15.85,2020-08-13,2020-10-18
160,BO65,man52,47,67.08,11.94,2020-09-21,2020-10-17
161,UZ36,man94,79,34.9,22.57,2020-08-15,2020-10-06
162,QW65,man01,53,74.76,24.78,2020-09-11,2020-10-04
163,HT46,man81,42,29.76,29.63,2020-09-24,2020-10-14
164,QL41,man88,50,93.79,26.0,2020-07-31,2020-10-01
165,SX99,man19,32,25.84,13.28,2020-09-01,2020-10-08
166,HK26,man45,31,70.32,26.81,2020-08-29,2020-10-21
167,GI39,man51,41,64.83,10.23,2020-08-25,2020-10-22
168,UL35,man65,41,62.73,17.31,2020-08-18,2020-10-12
169,IM68,man35,54,56.02,20.97,2020-08-20,2020-10-22
170,NI54,man42,34,56.18,29.41,2020-08-21,2020-10-03
171,HT93,man98,59,86.54,14.72,2020-09-21,2020-10-09
172,IP77,man48,98,84.14,19.78,2020-09-09,2020-10-25
173,QM50,man66,54,86.04,23.48,2020-09-21,2020-10-01
174,KL22,man23,55,76.47,10.73,2020-08-11,2020-10-14
175,UK81,man19,36,73.57,16.79,2020-08-26,2020-09-27
176,WB20,man59,46,73.03,12.82,2020-08-25,2020-09-28
177,OB86,man20,73,44.95,13.92,2020-09-07,2020-10-18
178,ZJ74,man60,69,30.1,14.97,2020-08-09,2020-10-15
179,PX07,man32,82,57.53,21.94,2020-08-08,2020-10-08
180,PM32,man69,12,75.85,23.4,2020-08-19,2020-09-26
181,VW13,man39,13,21.42,15.79,2020-09-07,2020-10-25
182,MR10,man69,60,38.58,16.7,2020-08-29,2020-10-20
183,RX70,man38,75,63.73,21.53,2020-07-31,2020-10-08
184,AM63,man82,55,43.4,21.46,2020-08-09,2020-09-29
185,GA92,man96,72,63.29,23.13,2020-09-07,2020-10-21
186,LM00,man78,39,95.02,25.63,2020-09-09,2020-10-22
187,JO59,man29,43,62.71,26.43,2020-08-29,2020-10-09
188,MH94,man27,96,66.24,24.75,2020-08-25,2020-09-27
189,CG57,man79,74,73.55,15.88,2020-09-23,2020-10-08
190,VY94,man56,98,76.97,24.24,2020-08-21,2020-10-23
191,SM65,man61,10,26.95,24.78,2020-09-13,2020-10-14
192,JY05,man52,98,80.9,12.76,2020-09-17,2020-10-03
193,TX45,man88,18,32.89,18.24,2020-08-06,2020-10-12
194,RV84,man32,88,24.36,18.46,2020-08-29,2020-10-02
195,EF59,man53,21,28.08,23.36,2020-08-13,2020-10-08
